project_name,average_cbo,average_dit,average_lcom,sum_loc,stars,releases,age
mini-spring,3.4093959731543624,1.221476510067114,0.12386646147651,2472,5504,0,3.85
mosby,5.368421052631579,1.6075187969924811,0.2245334087218045,17193,5490,15,9.5
hippo4j,4.630395683453237,1.1969424460431657,0.1933583869244604,28166,5483,18,3.27
freeline,3.762962962962963,1.6074074074074074,0.2215900052592592,5357,5481,22,8.14
hertzbeat,7.03755364806867,1.158798283261803,0.18305903,42317,5475,22,2.63
lamp-cloud,7.822393822393822,1.2882882882882882,0.1715793090810811,17640,5471,0,6.68
kafdrop,5.505747126436781,1.2873563218390804,0.3287568191954023,3924,5460,48,5.33
barcodescanner,5.287671232876712,1.643835616438356,0.2214651036986301,2796,5459,6,10.57
api-samples,6.404761904761905,1.0,0.2823361945238095,2541,5441,0,10.78
uid-generator,2.88,1.28,0.4449343276,873,5436,0,7.49
rebound,4.379310344827586,1.3218390804597702,0.2342557603448275,4095,5435,10,10.95
scribejava,4.208502024291498,1.4008097165991902,0.243842920882591,12671,5431,9,14.05
MagicCamera,3.542613636363636,1.4659090909090908,0.2826607990340909,14543,5431,0,8.71
IJPay,5.589743589743589,1.36996336996337,0.2454403232234432,14045,5424,24,7.39
AndroidVideoCache,4.831168831168832,1.4935064935064934,0.2289122167532467,3217,5423,20,9.48
dubbo-spring-boot-project,7.089887640449438,1.1685393258426966,0.2391161741573033,1895,5406,13,6.68
EdXposed,5.726086956521739,1.5641304347826086,0.3343403787173913,71794,5405,27,5.68
pinot,7.114980175831753,1.464057921048095,0.330541150454232,442105,5403,19,10.34
javaparser,9.769505354411017,1.9056603773584904,0.1848805273732789,141715,5383,52,12.9
wechat,5.239370078740158,1.2503937007874015,0.2286314937165354,34418,5376,0,9.33
android-job,6.994708994708994,1.7671957671957672,0.2342525884656084,10693,5375,31,9.09
TapTargetView,4.512820512820513,1.1538461538461535,0.0804483623076923,1960,5368,24,8.03
SystemBarTint,8.0,1.7777777777777777,0.3663639688888889,807,5363,3,10.85
lettuce,6.122988505747126,1.4183908045977012,0.2084722112482759,84932,5360,114,10.37
spring-boot-projects,4.299065420560748,1.074766355140187,0.2018742470093458,2603,5353,0,7.48
cw-omnibus,5.292481977342946,1.6833161688980434,0.2624347044644696,71379,5348,36,12.53
XRecyclerView,3.909638554216868,1.4216867469879515,0.1657324675301205,5151,5339,0,8.85
hudi,9.1182332345812,1.6412604363048748,0.33202400367331,244487,5335,28,7.77
austin,6.319526627218935,1.1242603550295858,0.1764704002071006,6372,5331,0,2.88
socket.io-client-java,1.921397379912664,1.0960698689956332,0.0634141284279476,5654,5325,6,11.4
JSqlParser,6.348675034867504,1.5383542538354251,0.2418826400808925,40221,5319,34,13.25
android-advancedrecyclerview,6.60506329113924,2.4075949367088607,0.2615517091291139,20692,5318,1,9.66
shimmer-android,8.571428571428571,1.8571428571428568,0.3703484714285714,885,5315,5,9.57
gradle-retrolambda,4.6,1.04,0.1371428564,623,5300,37,11.13
FastBle,4.380952380952381,1.2952380952380953,0.1461708243809523,4713,5289,9,8.08
generator,6.699846860643185,1.888208269525268,0.257082417992343,72795,5276,11,11.61
janusgraph,6.87035010940919,1.450765864332604,0.2755723277822757,101574,5276,26,7.74
VitamioBundle,4.950495049504951,1.316831683168317,0.2864288017821782,6501,5270,0,11.93
CompreFace,7.852852852852853,1.6576576576576576,0.1830850606486486,7766,5269,11,4.21
android-lifecycle,7.0,1.6666666666666667,0.0,481,5264,0,10.43
AmazeFileManager,7.28216704288939,1.4492099322799097,0.2503833310699774,31733,5253,66,10.19
titan,5.862609786700125,1.3613550815558344,0.224740726391468,71163,5247,0,12.57
Side-Menu.Android,3.888888888888889,1.2222222222222223,0.1736772538888888,449,5234,2,9.69
Dexter,4.425,1.2,0.164157982825,2197,5231,33,8.85
twoway-view,6.078431372549019,1.8235294117647056,0.3642166294117646,3688,5230,0,11.67
MusicBot,6.741935483870968,2.505376344086021,0.1923358859677419,4097,5229,38,8.1
FloatingActionButton,4.638297872340425,1.3829787234042554,0.1502527225531915,2805,5227,14,10.17
